age_group,variable_name,description,original_options,data_set_encoding,section,direction_decision,treatment_suggestion
0-3岁婴幼儿期(代答),WB402,与母亲同住多久（月）,"-7,0–12月（-7=不适用）","-7,0–12月（-7=不适用）",B 部分：日常生活,reverse,
0-3岁婴幼儿期(代答),WB5,是否已能走路,1.是 5.否,"1=是, 0=否",B 部分：日常生活,reverse,
0-3岁婴幼儿期(代答),WB501,开始走路（月）,"-7,1–180月（-7=不适用）","-7,1–180月（-7=不适用）",B 部分：日常生活,u_shape,U形编码：建议10–14个月为保护区间（适中发展），<10个月或>15个月为风险区间（发育异常/迟缓）。
0-3岁婴幼儿期(代答),WB6,能否说完整句子,1.是 5.否,"1=是, 0=否",B 部分：日常生活,reverse,
0-3岁婴幼儿期(代答),WB7,能否数1-10,1.是 5.否,"1=是, 0=否",B 部分：日常生活,reverse,
0-3岁婴幼儿期(代答),WB8,能否独立小便,1.是 5.否,"1=是, 0=否",B 部分：日常生活,reverse,
0-3岁婴幼儿期(代答),WB9,看电视电影时长（小时/周）,0–168.0小时,0–168.0小时,B 部分：日常生活,u_shape,"三分类法: <1h(屏幕时间少=保护), 1-2h(适中), >2h(屏幕时间多=风险)"
0-3岁婴幼儿期(代答),WC0,过去一月是否生病,1.是 5.否,"1=是, 0=否",C 部分：健康,keep,
0-3岁婴幼儿期(代答),WC3N,生病如何处理,1.立刻找医生看病 2.自己找药/买药 3.民间方法治疗 4.去求神拜佛或做法事 5.不采取任何措施 77.其他（请注明）,"1.立刻找医生看病,2.自己找药/买药,3.民间方法治疗,4.去求神拜佛或做法事,5.不采取任何措施,77.其他（请注明）",C 部分：健康,keep,
0-3岁婴幼儿期(代答),WC4N,过去12个月因病就医次数,1–150次,1–150次,C 部分：健康,keep,
0-3岁婴幼儿期(代答),WC4_1,过去12个月是否因病就医,1.是 5.否,"1=是, 0=否",C 部分：健康,keep,
0-3岁婴幼儿期(代答),WF309A,早晨起床时间（点）,4–16点,4–16点,B 部分：日常生活,u_shape,U形编码(6:30-7:30=保护，<6:00或>8:00=风险)
0-3岁婴幼儿期(代答),WF310A,晚上睡觉时间（点）,18–24点,18–24点,B 部分：日常生活,u_shape,U形编码(20:00-22:00=保护，<19:00或>23:00=风险)
4-6岁学龄前期(代答),pid,个人编码,系统生成,系统生成,,special,个人ID，不用于分析
4-6岁学龄前期(代答),AGE,年龄,0–120,0–120,G 部分：亲子互动,special,年龄变量，需根据年龄段特殊处理
4-6岁学龄前期(代答),GENDER,性别,1=男，5=女,"1=男, 0=女",,reverse,
4-6岁学龄前期(代答),WA10,是否要求孩子承担家务,1.是 5.否,"1=是, 0=否",B 部分：日常生活,reverse,
4-6岁学龄前期(代答),WA103,现在体重（斤）,1.0–300.0斤,1.0–300.0斤,C 部分：健康,u_shape,"婴幼儿体重：需要计算年龄别体重Z评分(WAZ)。建议：<-2SD(严重消瘦=高风险), -2SD~-1SD(消瘦=中等风险), -1SD~+1SD(正常=保护), >+1SD(超重=中等风险), >+2SD(肥胖=高风险)。需要结合年龄和性别计算"
4-6岁学龄前期(代答),WA104,现在身高（厘米）,30–230厘米,30–230厘米,C 部分：健康,u_shape,"婴幼儿身高：需要计算身长/身高别年龄Z评分(HAZ)。建议：<-2SD(发育迟缓=高风险), -2SD~-1SD(生长迟缓风险), ≥-1SD(正常=保护)。需要结合年龄和性别计算"
4-6岁学龄前期(代答),WA301,现在的户口状况,1.农业户口 3.非农户口 5.没有户口 7.居民户口 79.不适用,"1.农业户口,3.非农户口,5.没有户口,7.居民户口,79.不适用",A 部分：基本情况,categorical,多分类变量：户口状况。心理学权重编码(居民户口=保护，没有户口=高风险)，创建虚拟变量组
4-6岁学龄前期(代答),WB9,看电视电影时长（小时/周）,0–168.0小时,0–168.0小时,B 部分：日常生活,u_shape,"三分类法: <1h(屏幕时间少=保护), 1-2h(适中), >2h(屏幕时间多=风险)"
4-6岁学龄前期(代答),WC0,过去一月是否生病,1.是 5.否,"1=是, 0=否",C 部分：健康,keep,
4-6岁学龄前期(代答),WC1,现在在上学吗,1.是 5.否,"1=是, 0=否",C 部分：上学确认,reverse,
4-6岁学龄前期(代答),WC3,现在上哪个阶段,1.托儿所 2.幼儿园/学前班 3.小学 4.初中 5.高中/中专/技校/职高 6.大专 7.大学本科 8.硕士 9.博士,"1.托儿所,2.幼儿园/学前班,3.小学,4.初中,5.高中/中专/技校/职高,6.大专,7.大学本科,8.硕士,9.博士",C 部分：上学确认,special,学龄前：入学准备。建议：幼儿园(2)=适当=保护，小学(3)=超前=中等风险，未入园=滞后=高风险
4-6岁学龄前期(代答),WC3N,生病如何处理,1.立刻找医生看病 2.自己找药/买药 3.民间方法治疗 4.去求神拜佛或做法事 5.不采取任何措施 77.其他（请注明）,"1.立刻找医生看病,2.自己找药/买药,3.民间方法治疗,4.去求神拜佛或做法事,5.不采取任何措施,77.其他（请注明）",C 部分：健康,keep,
4-6岁学龄前期(代答),WF309A,早晨起床时间（点）,4–16点,4–16点,B 部分：日常生活,u_shape,U形编码(6:30-7:30=保护，<6:00或>8:00=风险)
4-6岁学龄前期(代答),WF310A,晚上睡觉时间（点）,18–24点,18–24点,B 部分：日常生活,u_shape,U形编码(20:00-22:00=保护，<19:00或>23:00=风险)
4-6岁学龄前期(代答),WG301,读故事频率,1.从不 2.很少 3.有时 4.经常 5.总是,"1.从不,2.很少,3.有时,4.经常,5.总是",G 部分：亲子互动,reverse,
4-6岁学龄前期(代答),WG302,买书频率,1.从不 2.很少 3.有时 4.经常 5.总是,"1.从不,2.很少,3.有时,4.经常,5.总是",G 部分：亲子互动,reverse,
4-6岁学龄前期(代答),WG303,外出游玩频率,1.从不 2.很少 3.有时 4.经常 5.总是,"1.从不,2.很少,3.有时,4.经常,5.总是",G 部分：亲子互动,reverse,
4-6岁学龄前期(代答),WG401,物品归类,1.能 5.不能,"1.能,5.不能",G 部分：亲子互动,keep,
4-6岁学龄前期(代答),WG402,识数,1.能 5.不能,"1.能,5.不能",G 部分：亲子互动,keep,
4-6岁学龄前期(代答),WG403,孩子能否在无提示下数到 20,1.能 5.不能,"1.能,5.不能",G 部分：亲子互动,keep,
4-6岁学龄前期(代答),WG404,孩子能否在无提示下数到 100（仅 G403=1 时询问）,1.能 5.不能,"1.能,5.不能",G 部分：亲子互动,keep,
4-6岁学龄前期(代答),WG405,孩子能否理解昨天、今天、明天的时间概念,1.能 5.不能,"1.能,5.不能",G 部分：亲子互动,keep,
4-6岁学龄前期(代答),WG406,孩子能否知道牛和老鼠哪个重（重量概念）,1.能 5.不能,"1.能,5.不能",G 部分：亲子互动,keep,
4-6岁学龄前期(代答),WG407,孩子能否知道 8 和 2 哪个多（数量概念）,1.能 5.不能,"1.能,5.不能",G 部分：亲子互动,keep,
4-6岁学龄前期(代答),WG408,孩子能否认识 10 个汉字,1.能 5.不能,"1.能,5.不能",G 部分：亲子互动,keep,
4-6岁学龄前期(代答),WG409,孩子能否认识 20 个汉字（仅 G408=1 时询问）,1.能 5.不能,"1.能,5.不能",G 部分：亲子互动,keep,
4-6岁学龄前期(代答),WG410,孩子能否按照正确顺序（从左到右、从上到下）读书,1.能 5.不能,"1.能,5.不能",G 部分：亲子互动,keep,
4-6岁学龄前期(代答),WG411,孩子能否读出 3-5 个汉字的简单句,1.能 5.不能,"1.能,5.不能",G 部分：亲子互动,keep,
4-6岁学龄前期(代答),WS201,上幼儿园还是学前班,1.幼儿园 5.学前班,"1.幼儿园,5.学前班",F 部分：上学,keep,
4-6岁学龄前期(代答),WS203,幼儿园/学前班的类型,1.公办 5.民办,"1.公办,5.民办",F 部分：上学,keep,
7-12岁小学期(代答),pid,个人编码,系统生成,系统生成,,special,个人ID，不用于分析
7-12岁小学期(代答),AGE,年龄,0–120,0–120,G 部分：亲子互动,special,年龄变量，需根据年龄段特殊处理
7-12岁小学期(代答),GENDER,性别,1=男，5=女,"1=男, 0=女",,reverse,
7-12岁小学期(代答),WA10,是否要求孩子承担家务,1.是 5.否,"1=是, 0=否",B 部分：日常生活,reverse,
7-12岁小学期(代答),WA301,现在的户口状况,1.农业户口 3.非农户口 5.没有户口 7.居民户口 79.不适用,"1.农业户口,3.非农户口,5.没有户口,7.居民户口,79.不适用",A 部分：基本情况,categorical,多分类变量：户口状况。心理学权重编码(居民户口=保护，没有户口=高风险)，创建虚拟变量组
7-12岁小学期(代答),WC0,过去一月是否生病,1.是 5.否,"1=是, 0=否",C 部分：健康,keep,
7-12岁小学期(代答),WC1,现在在上学吗,1.是 5.否,"1=是, 0=否",C 部分：上学确认,reverse,
7-12岁小学期(代答),WC3,现在上哪个阶段,1.托儿所 2.幼儿园/学前班 3.小学 4.初中 5.高中/中专/技校/职高 6.大专 7.大学本科 8.硕士 9.博士,"1.托儿所,2.幼儿园/学前班,3.小学,4.初中,5.高中/中专/技校/职高,6.大专,7.大学本科,8.硕士,9.博士",C 部分：上学确认,special,小学期(代答)：年级适当性。建议：1-6年级=适当=保护，留级或跳级=风险，未上学=高风险
7-12岁小学期(代答),WC3N,生病如何处理,1.立刻找医生看病 2.自己找药/买药 3.民间方法治疗 4.去求神拜佛或做法事 5.不采取任何措施 77.其他（请注明）,"1.立刻找医生看病,2.自己找药/买药,3.民间方法治疗,4.去求神拜佛或做法事,5.不采取任何措施,77.其他（请注明）",C 部分：健康,keep,
7-12岁小学期(代答),WC5,上几年级,1–10年级,1–10年级,F 部分：上学,keep,
7-12岁小学期(代答),WD503R,课外辅导费（元/年）,"0–5,000,000元","0–5,000,000元",T 部分：课外辅导,keep,
7-12岁小学期(代答),WF501,语文成绩如何,1.优 2.良 3.中 4.差,"1.优,2.良,3.中,4.差",F 部分：上学,keep,
7-12岁小学期(代答),WF502,数学成绩如何,1.优 2.良 3.中 4.差,"1.优,2.良,3.中,4.差",F 部分：上学,keep,
7-12岁小学期(代答),WF601MN,放弃看电视频率,1.从不 2.很少（每月1次） 3.偶尔（每周1次） 4.经常（每周2-4次） 5.很经常（每周5-7次）,"1.从不,2.很少（每月1次）,3.偶尔（每周1次）,4.经常（每周2-4次）,5.很经常（每周5-7次）",F 部分：上学,reverse,
7-12岁小学期(代答),WF602M,谈论学校里的事频率,1.从不 2.很少（每月1次） 3.偶尔（每周1次） 4.经常（每周2-4次） 5.很经常（每周5-7次）,"1.从不,2.很少（每月1次）,3.偶尔（每周1次）,4.经常（每周2-4次）,5.很经常（每周5-7次）",F 部分：上学,reverse,
7-12岁小学期(代答),WF604M,检查作业频率,1.从不 2.很少（每月1次） 3.偶尔（每周1次） 4.经常（每周2-4次） 5.很经常（每周5-7次）,"1.从不,2.很少（每月1次）,3.偶尔（每周1次）,4.经常（每周2-4次）,5.很经常（每周5-7次）",F 部分：上学,reverse,
7-12岁小学期(代答),WF607,联系老师频率,1.从不 2.很少（每月1次） 3.偶尔（每周1次） 4.经常（每周2-4次） 5.很经常（每周5-7次）,"1.从不,2.很少（每月1次）,3.偶尔（每周1次）,4.经常（每周2-4次）,5.很经常（每周5-7次）",F 部分：上学,u_shape,有序分类：联系老师频率。U形关系：从不联系(风险)-适度联系(保护)-频繁联系(风险)。建议三分类：1=高风险(从不)，2-4=保护(适度)，5=高风险(频繁)
7-12岁小学期(代答),WF701,期望成绩（分）,7.0–100分 -7=不适用,"7.0–100分,-7=不适用",F 部分：上学,keep,
7-12岁小学期(代答),WS1102,从住处到学校出行方式,1.步行 2.自行车/三轮车 3.电动自行车/摩托车 4.公交车/汽车 5.坐地铁 6.乘坐出租车 7.乘坐校车 77.其他（请注明）,"1.步行,2.自行车/三轮车,3.电动自行车/摩托车,4.公交车/汽车,5.坐地铁,6.乘坐出租车,7.乘坐校车,77.其他（请注明）",F 部分：上学,categorical,多分类变量：出行方式。创建'出行安全性'指标，两端风险高(不安全暴露 vs 过度依赖)
7-12岁小学期(代答),WS1103,住处到学校需几分钟（分钟）,1–240分钟,1–240分钟,F 部分：上学,u_shape,"三分类法: <15min(通勤短=保护), 15-45min(适中), >45min(通勤长=风险)"
7-12岁小学期(代答),WS601,是否公立学校,1.是 5.否,"1=是, 0=否",F 部分：上学,reverse,
7-12岁小学期(代答),WS602,是否示范/重点学校,1.是 5.否,"1=是, 0=否",F 部分：上学,reverse,
7-12岁小学期(代答),WS604,是否在重点班,1.是重点班 3.不是重点班 5.就读学校没有区分重点班和非重点班,"1.是重点班,3.不是重点班,5.就读学校没有区分重点班和非重点班",F 部分：上学,keep,
7-12岁小学期(代答),WT1,是否参加辅导班,1.是 5.否,"1=是, 0=否",T 部分：课外辅导,keep,
7-12岁小学期(代答),WT2,是否参加学校辅导,1.是 5.否,"1=是, 0=否",T 部分：课外辅导,keep,
7-12岁小学期(代答),WT3,是否参加竞赛辅导,1.是 5.否,"1=是, 0=否",T 部分：课外辅导,keep,
7-12岁小学期(代答),WT4,是否参加才艺培养,1.是 5.否,"1=是, 0=否",T 部分：课外辅导,reverse,
7-12岁小学期(代答),WT5,是否参加心智开发,1.是 5.否,"1=是, 0=否",T 部分：课外辅导,reverse,
7-12岁小学期(代答),WT7,是否参加其他辅导班,1.是 5.否,"1=是, 0=否",T 部分：课外辅导,keep,
7-12岁小学期(代答),WU1,是否使用电子设备,1.是 5.否,"1=是, 0=否",U 部分：电子设备使用,reverse,
13-17岁青少年期(自答),pid,个人编码,系统生成,系统生成,,special,个人ID，不用于分析
13-17岁青少年期(自答),AGE,年龄,0–120,0–120,G 部分：亲子互动,special,年龄变量，需根据年龄段特殊处理
13-17岁青少年期(自答),GENDER,性别,1=男，5=女,"1=男, 0=女",,reverse,
13-17岁青少年期(自答),KR425,班级排名,1=前 10%；2=11%-25%；3=26-50%；4=51-75%；5=后 24%；6=学校不公布排名或没有考试；79=不适用,"1=前 10%,2=11%-25%,3=26-50%,4=51-75%,5=后 24%,6=学校不公布排名或没有考试,79=不适用",C部分：教育,keep,
13-17岁青少年期(自答),KR426,年级排名,同KR425,"1=前 10%,2=11%-25%,3=26-50%,4=51-75%,5=后 24%,6=学校不公布排名或没有考试,79=不适用",C部分：教育,keep,
13-17岁青少年期(自答),KR4301,是否曾请假,1=是；5=否,"1=是, 0=否",C部分：教育,keep,
13-17岁青少年期(自答),KR4302,是否曾旷课,1=是；5=否,"1=是, 0=否",C部分：教育,keep,
13-17岁青少年期(自答),QEXT002,我经常和同龄人吵架,同QS601N,"1=非常符合,2=比较符合,3=一般,4=不太符合,5=非常不符合",C部分：教育,reverse,
13-17岁青少年期(自答),QEXT004,我很难集中注意力,同QS601N,"1=非常符合,2=比较符合,3=一般,4=不太符合,5=非常不符合",C部分：教育,reverse,
13-17岁青少年期(自答),QEXT006,我很容易分心,同QS601N,"1=非常符合,2=比较符合,3=一般,4=不太符合,5=非常不符合",C部分：教育,reverse,
13-17岁青少年期(自答),QEXT008,我很难完成学校的作业,同QS601N,"1=非常符合,2=比较符合,3=一般,4=不太符合,5=非常不符合",C部分：教育,reverse,
13-17岁青少年期(自答),QEXT012,我因为多嘴打扰到别人而惹麻烦,同QS601N,"1=非常符合,2=比较符合,3=一般,4=不太符合,5=非常不符合",C部分：教育,reverse,
13-17岁青少年期(自答),QEXT013,我因为和同龄人打架而惹麻烦,同QS601N,"1=非常符合,2=比较符合,3=一般,4=不太符合,5=非常不符合",C部分：教育,reverse,
13-17岁青少年期(自答),QINT001,学习上遇到困难我会生气,同QS601N,"1=非常符合,2=比较符合,3=一般,4=不太符合,5=非常不符合",C部分：教育,reverse,
13-17岁青少年期(自答),QINT003,我害怕考试,同QS601N,"1=非常符合,2=比较符合,3=一般,4=不太符合,5=非常不符合",C部分：教育,reverse,
13-17岁青少年期(自答),QINT005,我经常感到寂寞,同QS601N,"1=非常符合,2=比较符合,3=一般,4=不太符合,5=非常不符合",C部分：教育,reverse,
13-17岁青少年期(自答),QINT007,我经常觉得悲伤难受,同QS601N,"1=非常符合,2=比较符合,3=一般,4=不太符合,5=非常不符合",C部分：教育,reverse,
13-17岁青少年期(自答),QINT009,我担心自己在学校表现得不够好,同QS601N,"1=非常符合,2=比较符合,3=一般,4=不太符合,5=非常不符合",C部分：教育,reverse,
13-17岁青少年期(自答),QINT010,我担心做不完作业,同QS601N,"1=非常符合,2=比较符合,3=一般,4=不太符合,5=非常不符合",C部分：教育,reverse,
13-17岁青少年期(自答),QINT011,我担心在学校没有玩伴,同QS601N,"1=非常符合,2=比较符合,3=一般,4=不太符合,5=非常不符合",C部分：教育,reverse,
13-17岁青少年期(自答),QINT014,在学校犯错误的时候我感到羞愧,同QS601N,"1=非常符合,2=比较符合,3=一般,4=不太符合,5=非常不符合",C部分：教育,reverse,
13-17岁青少年期(自答),QM2011,人缘关系评分,0–10分（0=最低，10=最高）,"0–10分（0=最低,10=最高）",M 部分：主观态度,reverse,
13-17岁青少年期(自答),QM2016,幸福感评分,0–10分（0=最低，10=最高）,"0–10分（0=最低,10=最高）",M 部分：主观态度,reverse,
13-17岁青少年期(自答),QM3N,生活意义评分,0–10分（0=非常没有意义，10=非常有意义）,"0–10分（0=非常没有意义,10=非常有意义）",M 部分：主观态度,reverse,
13-17岁青少年期(自答),QN12012,对自己生活满意度,1–5分（1=很不满意，5=非常满意）,"1–5分（1=很不满意,5=非常满意）",M 部分：主观态度,reverse,
13-17岁青少年期(自答),QN406,我感到情绪低落,1.几乎没有（不到一天） 2.有些时候（1-2天） 3.经常有（3-4天） 4.大多数时候有（5-7天）,"1=几乎没有(<1天), 2=有些时候(1-2天), 3=经常(3-4天), 4=大多数时候有(5-7天)",Q 部分：行为与精神状态,keep,
13-17岁青少年期(自答),QN407,我觉得做任何事都很费劲,1.几乎没有（不到一天） 2.有些时候（1-2天） 3.经常有（3-4天） 4.大多数时候有（5-7天）,"1=几乎没有(<1天), 2=有些时候(1-2天), 3=经常(3-4天), 4=大多数时候有(5-7天)",Q 部分：行为与精神状态,keep,
13-17岁青少年期(自答),QN411,我的睡眠不好,1.几乎没有（不到一天） 2.有些时候（1-2天） 3.经常有（3-4天） 4.大多数时候有（5-7天）,"1=几乎没有(<1天), 2=有些时候(1-2天), 3=经常(3-4天), 4=大多数时候有(5-7天)",Q 部分：行为与精神状态,keep,
13-17岁青少年期(自答),QN412,我感到愉快,1.几乎没有（不到一天） 2.有些时候（1-2天） 3.经常有（3-4天） 4.大多数时候有（5-7天）,"1=几乎没有(<1天), 2=有些时候(1-2天), 3=经常(3-4天), 4=大多数时候有(5-7天)",Q 部分：行为与精神状态,reverse,
13-17岁青少年期(自答),QN414,我感到孤独,1.几乎没有（不到一天） 2.有些时候（1-2天） 3.经常有（3-4天） 4.大多数时候有（5-7天）,"1=几乎没有(<1天), 2=有些时候(1-2天), 3=经常(3-4天), 4=大多数时候有(5-7天)",Q 部分：行为与精神状态,keep,
13-17岁青少年期(自答),QN416,我生活快乐,1.几乎没有（不到一天） 2.有些时候（1-2天） 3.经常有（3-4天） 4.大多数时候有（5-7天）,"1=几乎没有(<1天), 2=有些时候(1-2天), 3=经常(3-4天), 4=大多数时候有(5-7天)",Q 部分：行为与精神状态,reverse,
13-17岁青少年期(自答),QN418,我感到悲伤难过,1.几乎没有（不到一天） 2.有些时候（1-2天） 3.经常有（3-4天） 4.大多数时候有（5-7天）,"1=几乎没有(<1天), 2=有些时候(1-2天), 3=经常(3-4天), 4=大多数时候有(5-7天)",Q 部分：行为与精神状态,keep,
13-17岁青少年期(自答),QN420,我觉得生活无法继续,1.几乎没有（不到一天） 2.有些时候（1-2天） 3.经常有（3-4天） 4.大多数时候有（5-7天）,"1=几乎没有(<1天), 2=有些时候(1-2天), 3=经常(3-4天), 4=大多数时候有(5-7天)",Q 部分：行为与精神状态,keep,
13-17岁青少年期(自答),QN8012,社会地位评分,1–5分（1=很低，5=很高）,"1–5分（1=很低,5=很高）",M 部分：主观态度,reverse,
13-17岁青少年期(自答),QP201,健康状况,1.非常健康 2.很健康 3.比较健康 4.一般 5.不健康,"1.非常健康,2.很健康,3.比较健康,4.一般,5.不健康",P 部分：健康,keep,
13-17岁青少年期(自答),QP202,健康变化情况,1.更好 3.没有变化 5.更差,"1.更好,3.没有变化,5.更差",P 部分：健康,keep,
13-17岁青少年期(自答),QP701N,锻炼身体的频率,1.平均每月不足1次 2.平均每月1次以上，但每周不足1次 3.平均每周1-2次 4.平均每周3-4次 5.平均每周5次及以上 6.每天1次 7.每天两次及以上 8.从不参加,"1.平均每月不足1次,2.平均每月1次以上,但每周不足1次,3.平均每周1-2次,4.平均每周3-4次,5.平均每周5次及以上,6.每天1次,7.每天两次及以上,8.从不参加",P 部分：健康,u_shape,"有序分类：锻炼频率。U形关系：1/8(极少/从不)=风险，3-5(适度)=保护，6-7(过高)=风险。建议重编码：风险组(1,8,6,7)，保护组(3-5)，中间组(2)"
13-17岁青少年期(自答),QP702N,锻炼时长（分钟）,1–300分钟,1–300分钟,P 部分：健康,u_shape,连续变量：锻炼时长(分钟)。U形关系：<15min(过短)=风险，15-90min(适度)=保护，>90min(过长)=风险。考虑青少年学业负担
13-17岁青少年期(自答),QQ201,是否吸烟,1.是 5.否,"1=是, 0=否",Q 部分：行为与精神状态,keep,
13-17岁青少年期(自答),QQ204,是否曾经吸烟,1.是 5.否,"1=是, 0=否",Q 部分：行为与精神状态,keep,
13-17岁青少年期(自答),QQ301,过去一月每周喝酒过3次吗,1.是 5.否,"1=是, 0=否",Q 部分：行为与精神状态,keep,
13-17岁青少年期(自答),QQ401,是否有午睡习惯,1.有 5.没有,"1=有, 0=没有",Q 部分：行为与精神状态,reverse,
13-17岁青少年期(自答),QQ4010,睡眠时长（小时/天）,0.1–24.0小时,0.1–24.0小时,Q 部分：行为与精神状态,u_shape,"三分类法: <7h(睡眠过短=风险), 7-9h(睡眠正常=保护), >9h(睡眠过长=风险)"
13-17岁青少年期(自答),QS502,学习压力,1=非常大；2=比较大；3=一般；4=不太大；5=没有压力,"1=非常大,2=比较大,3=一般,4=不太大,5=没有压力",C部分：教育,reverse,
13-17岁青少年期(自答),QS503,自我评价优秀程度,1=非常优秀；2=比较优秀；3=一般；4=不太优秀；5=非常不优秀,"1=非常优秀,2=比较优秀,3=一般,4=不太优秀,5=非常不优秀",C部分：教育,keep,
13-17岁青少年期(自答),QS504,适合做学生干部程度,1=非常适合；2=比较适合；3=一般；4=不太适合；5=非常不适合,"1=非常适合,2=比较适合,3=一般,4=不太适合,5=非常不适合",C部分：教育,keep,
13-17岁青少年期(自答),QS701,对学校满意度,同QS501,"1=非常满意,2=满意,3=一般,4=不满意,5=非常不满意",C部分：教育,keep,
13-17岁青少年期(自答),QS702,对班主任满意度,同QS501,"1=非常满意,2=满意,3=一般,4=不满意,5=非常不满意",C部分：教育,keep,
13-17岁青少年期(自答),QS703,对语文老师满意度,同QS501,"1=非常满意,2=满意,3=一般,4=不满意,5=非常不满意",C部分：教育,keep,
13-17岁青少年期(自答),QS704,对数学老师满意度,同QS501,"1=非常满意,2=满意,3=一般,4=不满意,5=非常不满意",C部分：教育,keep,
13-17岁青少年期(自答),QS705,对外语老师满意度,同QS501,"1=非常满意,2=满意,3=一般,4=不满意,5=非常不满意",C部分：教育,keep,
13-17岁青少年期(自答),QU11,是否使用微信,1.是 5.否,"1=是, 0=否",U部分：网络模块,reverse,
13-17岁青少年期(自答),QU111,朋友圈分享频率,1.几乎每天 2.一周3-4次 3.一周1-2次 4.一月2-3次 5.一月一次 6.几个月一次 7.从不,"1.几乎每天,2.一周3-4次,3.一周1-2次,4.一月2-3次,5.一月一次,6.几个月一次,7.从不",U部分：网络模块,u_shape,"有序分类：朋友圈分享频率。U形关系：1-2(过高)=风险，3-4(适度)=保护，5-7(过低)=风险。建议：重编码为'适度分享'(3-4)=1，'过度或过少'(1-2,5-7)=0"
13-17岁青少年期(自答),QU201,是否移动设备上网,1=是；5=否,"1=是, 0=否",U部分：网络模块,reverse,
13-17岁青少年期(自答),QU202,是否电脑上网,1=是；5=否,"1=是, 0=否",U部分：网络模块,reverse,
13-17岁青少年期(自答),QU5,是否在网上学习,1.是 5.否,"1=是, 0=否",U部分：网络模块,reverse,
13-17岁青少年期(自答),QU91,是否玩网络游戏,1=是；5=否,"1=是, 0=否",U部分：网络模块,keep,
13-17岁青少年期(自答),QU92,是否网上购物,1=是；5=否,"1=是, 0=否",U部分：网络模块,keep,
